content_key,response_index,synthetic_type,priority,reason,next_action,owner,notes
APSTAT-MOD6-H001,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD6-H001,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD6-H001,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
APSTAT-MOD6-H002-INV,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD6-H002-INV,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD6-H002-INV,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
APSTAT-MOD7-H001,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD7-H001,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD7-H001,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
APSTAT-MOD7-H002-INV,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD7-H002-INV,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD7-H002-INV,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
APSTAT-MOD8-H001,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD8-H001,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD8-H001,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Resolved corpus-defect path: grading is method-only/self-consistency, not fixed-value matching.
APSTAT-MOD8-VH001,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD8-VH001,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD8-VH001,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
