content_key,item_type,difficulty,basis,rationale
APBIO-FRQ-S-033,frq,Medium,judgement,Receptor-mediated endocytosis; ordered mechanism recall
APBIO-FRQ-S-036,frq,Easy,task verb,"verb(s): explains, states"
APBIO-FRQ-S-038,frq,Easy,task verb,"verb(s): explains, predicts, states"
APBIO-FRQ-S-040,frq,Hard,judgement,RTK mechanism plus predicting the consequence of constitutive activation
APBIO-FRQ-S-045,frq,Hard,task verb,"verb(s): calculate, predict"
APBIO-FRQ-S-046,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-047,frq,Medium,judgement,Incomplete dominance plus predicted cross ratio
APBIO-FRQ-S-048,frq,Medium,judgement,Codominance vs incomplete dominance contrast plus cross
APBIO-FRQ-S-051,frq,Medium,judgement,Meiosis I nondisjunction mechanism and gamete outcome
APBIO-FRQ-S-052,frq,Medium,judgement,Transcription initiation and 5-prime cap function
APBIO-FRQ-S-058,frq,Medium,judgement,Bottleneck effect on allele frequencies
APBIO-FRQ-S-061,frq,Medium,task verb,"verb(s): explains, identifies"
APBIO-FRQ-S-062,frq,Medium,task verb,verb(s): explain
APBIO-FRQ-S-063,frq,Easy,task verb,"verb(s): applies, calculates, states"
APBIO-FRQ-S-064,frq,Easy,task verb,"verb(s): identifies, states"
APBIO-FRQ-S-066,frq,Medium,task verb,"verb(s): describes, explains, predicts"
APBIO-FRQ-S-068,frq,Easy,task verb,"verb(s): classifies, names, states"
APBIO-FRQ-S-070,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-071,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-073,frq,Medium,task verb,"verb(s): describe, explain"
APBIO-FRQ-S-074,frq,Medium,task verb,verb(s): explain
APBIO-FRQ-S-076,frq,Medium,task verb,"verb(s): describe, explain"
APBIO-FRQ-S-080,frq,Easy,task verb,"verb(s): explains, states"
APBIO-FRQ-S-081,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-084,frq,Easy,task verb,"verb(s): explains, states"
APBIO-FRQ-S-085,frq,Hard,task verb,"verb(s): explain, predict"
APBIO-FRQ-S-086,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-087,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-089,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-090,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-094,frq,Medium,task verb,verb(s): explain
APBIO-FRQ-S-095,frq,Easy,task verb,"verb(s): explains, states"
APBIO-FRQ-S-097,frq,Easy,task verb,verb(s): states
APBIO-FRQ-S-099,frq,Medium,task verb,"verb(s): classify, explain"
APBIO-FRQ-S-101,frq,Medium,task verb,"verb(s): constructs, explains"
APBIO-FRQ-S-102,frq,Medium,task verb,"verb(s): calculates, describes, explains"
APBIO-FRQ-S-103,frq,Medium,task verb,"verb(s): describes, explains"
APBIO-HDG-2026-GRAPH-002,frq,Medium,task verb,verb(s): compares
APBIO-HDG-2026-GRAPH-003,frq,Easy,task verb,verb(s): identifies
APBIO-HDG-2026-GRAPH-008,frq,Medium,task verb,verb(s): describes
APBIO-HDG-2026-GRAPH-010,frq,Medium,task verb,"verb(s): describes, explains, labels"
APBIO-MCQ-005,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-008,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-011,mcq,Hard,judgement,"""integrating all three pieces of evidence"" - multi-evidence synthesis"
APBIO-MCQ-014,mcq,Medium,judgement,Single inference from stated observations
APBIO-MCQ-016,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-017,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-018,mcq,Hard,judgement,Prediction from a described mechanism
APBIO-MCQ-020,mcq,Hard,judgement,Multi-step data reasoning across three solutions
APBIO-MCQ-021,mcq,Medium,judgement,Single-mechanism outcome prediction
APBIO-MCQ-022,mcq,Hard,task verb,verb(s): supports
APBIO-MCQ-023,mcq,Hard,judgement,"""best supported by all three experimental results"" - synthesis"
APBIO-MCQ-024,mcq,Hard,judgement,Explicit cross-unit integration (membrane biochemistry + ecology)
APBIO-MCQ-025,mcq,Hard,judgement,Chain of reasoning from cellular change to organism-level outcome
APBIO-MCQ-026,mcq,Easy,task verb,verb(s): classifies
APBIO-MCQ-027,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-028,mcq,Medium,judgement,Applies the pathway as given to predict one effect
APBIO-MCQ-030,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-032,mcq,Hard,judgement,Rescue-experiment inference; experimental argumentation
APBIO-MCQ-033,mcq,Medium,judgement,One-step pathway prediction from a block
APBIO-MCQ-034,mcq,Hard,judgement,"""all three experimental results taken together"" - synthesis"
APBIO-MCQ-043,mcq,Medium,judgement,Comparison of two division types from observations
APBIO-MCQ-046,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-047,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-054,mcq,Medium,judgement,Two-part application: inheritance pattern plus genotype
APBIO-MCQ-055,mcq,Medium,judgement,Pedigree inference; standard taught skill
APBIO-MCQ-056,mcq,Hard,judgement,Accounting for a modified 9:7 ratio - non-standard result
APBIO-MCQ-058,mcq,Medium,judgement,Single probability calculation
APBIO-MCQ-061,mcq,Medium,task verb,verb(s): describes
APBIO-MCQ-063,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-064,mcq,Medium,task verb,verb(s): represents
APBIO-MCQ-065,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-067,mcq,Hard,judgement,Conclusion from experimental results; argumentation
APBIO-MCQ-069,mcq,Medium,judgement,Standard taught mechanism of alternative splicing
APBIO-MCQ-074,mcq,Hard,task verb,verb(s): predicts
APBIO-MCQ-079,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-084,mcq,Medium,task verb,verb(s): contrasts
APBIO-MCQ-086,mcq,Medium,task verb,verb(s): distinguishes
APBIO-MCQ-088,mcq,Hard,task verb,verb(s): predict
APBIO-MCQ-093,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-094,mcq,Medium,task verb,verb(s): explains
APBIO-MCQ-095,mcq,Medium,judgement,Multi-step but routine 10% energy calculation
APBIO-MCQ-097,mcq,Medium,task verb,verb(s): describes
APBIO-MCQ-099,mcq,Easy,task verb,verb(s): identifies
