content_key,item_type,difficulty,basis,confidence,rationale
apprecalc-frq-033,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-034,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=3, Hard=0; criteria_with_no_cue=0/3."
apprecalc-frq-035,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-036,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-np2-001,frq,Hard,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=2, Hard=2; criteria_with_no_cue=2/6."
apprecalc-frq-np2-002,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-np2-003,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-np2-004,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-np2-005,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-np2-006,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-np2-007,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-np2-008,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-np2-009,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-np2-010,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-u12-002,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=2, Hard=0; criteria_with_no_cue=3/6."
apprecalc-frq-u12-003,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=2, Hard=1; criteria_with_no_cue=2/6."
apprecalc-frq-u12-004,frq,Easy,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=3, Medium=1, Hard=1; criteria_with_no_cue=1/6."
apprecalc-frq-u12-005,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=5, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-u12-006,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=0, Medium=4, Hard=0; criteria_with_no_cue=2/6."
apprecalc-frq-u12-007,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=0, Medium=3, Hard=0; criteria_with_no_cue=3/6."
apprecalc-frq-u12-008,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=3, Hard=0; criteria_with_no_cue=2/6."
apprecalc-frq-u12-009,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=4, Hard=0; criteria_with_no_cue=1/6."
apprecalc-frq-u12-010,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=4, Hard=1; criteria_with_no_cue=0/6."
apprecalc-frq-u12-011,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=0, Medium=5, Hard=0; criteria_with_no_cue=1/6."
apprecalc-frq-u12-012,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=0, Medium=3, Hard=0; criteria_with_no_cue=3/6."
apprecalc-frq-u12-013,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-u12-014,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=3, Hard=0; criteria_with_no_cue=2/6."
apprecalc-frq-u12-015,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=5, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-u12-016,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=0, Medium=3, Hard=1; criteria_with_no_cue=2/6."
apprecalc-frq-u12-017,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=4, Hard=0; criteria_with_no_cue=1/6."
apprecalc-frq-u12-018,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=1, Medium=3, Hard=1; criteria_with_no_cue=1/6."
apprecalc-frq-u12-019,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=0, Medium=5, Hard=0; criteria_with_no_cue=1/6."
apprecalc-frq-u12-020,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via criterion's own learner_facing_text (no stem part breakdown), modal with upward tie-break: Easy=0, Medium=3, Hard=0; criteria_with_no_cue=3/6."
apprecalc-mcq-001,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-002,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-003,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-004,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-005,mcq,Hard,calibrated_task_verb,medium,Hard cue in MCQ stem.
apprecalc-mcq-006,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-007,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-008,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-009,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-010,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-011,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-012,mcq,Hard,calibrated_task_verb,medium,Hard cue in MCQ stem.
apprecalc-mcq-013,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-014,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-015,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-016,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-017,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-018,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-019,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-020,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-022,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-023,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-024,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-025,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-026,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-027,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-028,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-029,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-030,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-031,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-032,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-033,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-034,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-035,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-036,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-037,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-038,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-040,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-041,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-043,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-045,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-047,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-049,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-np2-001,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-np2-002,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-np2-003,mcq,Hard,calibrated_task_verb,medium,Hard cue in MCQ stem.
apprecalc-mcq-np2-004,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-np2-005,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-np2-006,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-np2-007,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-np2-008,mcq,Medium,calibrated_task_verb,medium,Medium cue in MCQ stem.
apprecalc-mcq-np2-009,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
apprecalc-mcq-np2-010,mcq,Medium,calibrated_judgement,low,No decisive cue; standard one-concept MCQ judged Medium.
