content_key,criterion_key,span_index,similarity_ratio,threshold_band,highest_pair_governs,restatement_justification
apphycem-frq-037,part-d-criterion-01,17,0.857143,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-d-criterion-02,19,0.947368,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-038,part-a-criterion-01,1,0.916667,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-038,part-a-criterion-02,3,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-038,part-a-criterion-03,5,0.409091,clear,yes,
apphycem-frq-038,part-b-criterion-01,7,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-038,part-b-criterion-02,9,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-038,part-b-criterion-03,11,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-038,part-c-criterion-01,13,0.978723,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-038,part-c-criterion-02,15,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-040,part-a,1,0.967742,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-040,part-b,3,0.938776,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-042,a-integration,1,0.750000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-042,a-setup,3,0.878049,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-042,b-numeric,5,0.933333,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-048,a-flux,1,0.965517,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-048,a-prediction,3,0.933333,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-048,b-explanation,5,0.960000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-049,a-enclosed-integral,1,0.888889,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-049,a-field-expression,3,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-049,a-gaussian-surface,5,0.810811,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-049,a-integral-evaluation,7,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-049,b-numeric,9,0.962963,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-050,a-derivation,1,0.947368,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-050,a-integral-setup,3,0.915254,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-050,a-numeric,5,0.969697,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-050,b-justification,7,0.967742,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-050,b-prediction,9,0.937500,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-051,a-final-expression,1,0.848485,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-051,a-integration,3,0.965517,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-051,a-lambda,5,0.962963,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-051,a-setup,7,0.888889,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-051,b-numeric,9,0.923077,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-053,a-charge,1,0.941176,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-053,a-integral-evaluation,3,0.952381,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-053,a-integral-setup,5,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-053,b-battery-energy,7,0.965517,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-053,b-explanation,9,0.941176,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-056,a-enclosed-integral,1,0.933333,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-056,a-field-expression,3,0.857143,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-056,a-gaussian-setup,5,0.687500,clear,yes,
apphycem-frq-056,b-field-expression,7,0.960000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-056,b-total-charge,9,0.969697,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-056,c-numeric-inside,11,0.962963,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-056,c-numeric-outside,13,0.960000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-001,part-a-criterion-01,1,0.969697,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-001,part-a-criterion-02,3,0.875000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-001,part-a-criterion-03,5,0.950000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-001,part-a-criterion-04,7,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-001,part-b-criterion-01,9,0.962963,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-001,part-b-criterion-02,11,0.827586,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-002,part-a-criterion-01,1,0.969697,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-002,part-a-criterion-02,3,0.769231,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-002,part-a-criterion-03,5,0.956522,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-002,part-a-criterion-04,7,0.827586,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-002,part-b-criterion-01,9,0.888889,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-002,part-b-criterion-02,11,0.833333,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-003,part-a-criterion-01,1,0.923077,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-003,part-a-criterion-02,3,0.968750,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-003,part-a-criterion-03,5,0.380952,clear,yes,
apphycem-frq-np1-003,part-b-criterion-01,7,0.972973,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-003,part-b-criterion-02,9,0.818182,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-004,part-a-criterion-01,1,0.925000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-np1-004,part-a-criterion-02,3,0.880000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
