finding_id,target_file,content_item_id,content_key,issue_type,severity,explanation,suggested_investigation
QA2-015,apbio_frq_segmentation.codex.jsonl,c0d0ec3a-8b19-4ad4-b211-3a7083408b38,APBIO-FRQ-S-021,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-016,apbio_frq_segmentation.codex.jsonl,c0d0ec3a-8b19-4ad4-b211-3a7083408b38,APBIO-FRQ-S-021,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-017,apbio_frq_segmentation.codex.jsonl,b76a09ff-aecf-4e87-a17b-5b04285a08e7,APBIO-FRQ-S-023,partial_draft_coverage,medium,3 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-018,apbio_frq_segmentation.codex.jsonl,a3b95a8c-b537-4f07-aab6-5e3a606d930b,APBIO-FRQ-S-025,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-019,apbio_frq_segmentation.codex.jsonl,a3b95a8c-b537-4f07-aab6-5e3a606d930b,APBIO-FRQ-S-025,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-020,apbio_frq_segmentation.codex.jsonl,561eb0a2-a904-41dc-baee-b1b46f057dee,APBIO-FRQ-S-026,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-021,apbio_frq_segmentation.codex.jsonl,561eb0a2-a904-41dc-baee-b1b46f057dee,APBIO-FRQ-S-026,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-022,apbio_frq_segmentation.codex.jsonl,a7fe6aa6-8d05-4db0-a6bf-b057f549a1ac,APBIO-FRQ-S-028,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-023,apbio_frq_segmentation.codex.jsonl,a7fe6aa6-8d05-4db0-a6bf-b057f549a1ac,APBIO-FRQ-S-028,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-024,apbio_frq_segmentation.codex.jsonl,afd0854c-343d-4e37-a066-05f23d319e03,APBIO-FRQ-S-032,partial_draft_coverage,medium,3 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-025,apbio_frq_segmentation.codex.jsonl,afd0854c-343d-4e37-a066-05f23d319e03,APBIO-FRQ-S-032,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-026,apbio_frq_segmentation.codex.jsonl,dd5e062b-5328-479c-bf77-16dc207957f4,APBIO-FRQ-S-033,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-027,apbio_frq_segmentation.codex.jsonl,dd5e062b-5328-479c-bf77-16dc207957f4,APBIO-FRQ-S-033,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-028,apbio_frq_segmentation.codex.jsonl,09a23a59-2ede-438d-b94f-3cbb3e12c8d0,APBIO-FRQ-S-036,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-029,apbio_frq_segmentation.codex.jsonl,7e09a039-a38b-4acf-aa67-fdcb8da6d26e,APBIO-FRQ-S-038,partial_draft_coverage,medium,3 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-030,apbio_frq_segmentation.codex.jsonl,d2195299-b1b0-4ae9-a109-54fa4b53a846,APBIO-FRQ-S-040,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-031,apbio_frq_segmentation.codex.jsonl,d2195299-b1b0-4ae9-a109-54fa4b53a846,APBIO-FRQ-S-040,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-032,apbio_frq_segmentation.codex.jsonl,ffb44beb-3467-4353-8b05-2715517d4cbb,APBIO-FRQ-S-045,partial_draft_coverage,medium,1 of 2 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-033,apbio_frq_segmentation.codex.jsonl,9e9936b4-9fa7-4e47-b6f9-7950388318ea,APBIO-FRQ-S-046,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-034,apbio_frq_segmentation.codex.jsonl,c49484c4-5e3c-4c0c-a18d-e308055c6370,APBIO-FRQ-S-047,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-035,apbio_frq_segmentation.codex.jsonl,d994c1b0-7951-4060-8053-1b4410b488b7,APBIO-FRQ-S-048,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-036,apbio_frq_segmentation.codex.jsonl,b32b3a6d-ee7d-4720-b5ad-64547aebd892,APBIO-FRQ-S-051,partial_draft_coverage,medium,3 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-037,apbio_frq_segmentation.codex.jsonl,b32b3a6d-ee7d-4720-b5ad-64547aebd892,APBIO-FRQ-S-051,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-038,apbio_frq_segmentation.codex.jsonl,c41250d8-93ec-43fd-b68e-6f157d52c0c8,APBIO-FRQ-S-052,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-039,apbio_frq_segmentation.codex.jsonl,c41250d8-93ec-43fd-b68e-6f157d52c0c8,APBIO-FRQ-S-052,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-040,apbio_frq_segmentation.codex.jsonl,dfa7018e-2ec0-409b-ae53-20895537ea68,APBIO-FRQ-S-058,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-041,apbio_frq_segmentation.codex.jsonl,dfa7018e-2ec0-409b-ae53-20895537ea68,APBIO-FRQ-S-058,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-042,apbio_frq_segmentation.codex.jsonl,020fe264-1242-488a-aee5-9eb26d3b5faa,APBIO-FRQ-S-062,partial_draft_coverage,medium,1 of 2 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-043,apbio_frq_segmentation.codex.jsonl,9e772ef8-410e-4269-a573-37aeb777833b,APBIO-FRQ-S-066,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-044,apbio_frq_segmentation.codex.jsonl,9e772ef8-410e-4269-a573-37aeb777833b,APBIO-FRQ-S-066,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-045,apbio_frq_segmentation.codex.jsonl,004fa02d-4b3a-42f1-9159-e909ded75d7f,APBIO-FRQ-S-068,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-046,apbio_frq_segmentation.codex.jsonl,b29147fe-ca1c-4b33-b8c7-e8e6192220e8,APBIO-FRQ-S-070,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-047,apbio_frq_segmentation.codex.jsonl,bf484484-9ce9-45fc-ab45-49b88ae745e7,APBIO-FRQ-S-071,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-048,apbio_frq_segmentation.codex.jsonl,bf484484-9ce9-45fc-ab45-49b88ae745e7,APBIO-FRQ-S-071,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-049,apbio_frq_segmentation.codex.jsonl,f906df10-9c94-4432-9e4f-968e185301ac,APBIO-FRQ-S-073,partial_draft_coverage,medium,1 of 2 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-050,apbio_frq_segmentation.codex.jsonl,f96c2ad9-7bd0-4950-a9b0-d7492ea30803,APBIO-FRQ-S-074,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-051,apbio_frq_segmentation.codex.jsonl,f67ec85b-e2b0-4733-b891-c3e99e076f93,APBIO-FRQ-S-076,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-052,apbio_frq_segmentation.codex.jsonl,835d8ce4-93e2-46d2-af6d-adcd4c2713f3,APBIO-FRQ-S-080,partial_draft_coverage,medium,3 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-053,apbio_frq_segmentation.codex.jsonl,e0278b91-cfc8-48ef-83b7-a9b4256ddf36,APBIO-FRQ-S-081,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-054,apbio_frq_segmentation.codex.jsonl,e0278b91-cfc8-48ef-83b7-a9b4256ddf36,APBIO-FRQ-S-081,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-055,apbio_frq_segmentation.codex.jsonl,6d03e381-4f81-4f33-8804-7ea567f12330,APBIO-FRQ-S-084,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-056,apbio_frq_segmentation.codex.jsonl,ec200449-df12-4069-8a92-aea33feb36c9,APBIO-FRQ-S-085,partial_draft_coverage,medium,1 of 2 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-057,apbio_frq_segmentation.codex.jsonl,907a1813-1d45-4b4f-aff7-8382632ef127,APBIO-FRQ-S-086,partial_draft_coverage,medium,3 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-058,apbio_frq_segmentation.codex.jsonl,907a1813-1d45-4b4f-aff7-8382632ef127,APBIO-FRQ-S-086,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-059,apbio_frq_segmentation.codex.jsonl,80e917c2-fc85-4aa6-a7e7-1f37050922f8,APBIO-FRQ-S-087,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-060,apbio_frq_segmentation.codex.jsonl,c992e827-4720-4f1a-b2d4-924a9313e7b3,APBIO-FRQ-S-090,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-061,apbio_frq_segmentation.codex.jsonl,ffe8566d-7b98-4526-b58a-f37c4d8ededc,APBIO-FRQ-S-094,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-062,apbio_frq_segmentation.codex.jsonl,79cb5876-49bb-4d94-856d-414cd4c629b8,APBIO-FRQ-S-095,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-063,apbio_frq_segmentation.codex.jsonl,be78ce36-c01b-47d1-901f-7bf38caa0e7b,APBIO-FRQ-S-097,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-064,apbio_frq_segmentation.codex.jsonl,be78ce36-c01b-47d1-901f-7bf38caa0e7b,APBIO-FRQ-S-097,canonical_answer_2_off_rubric,medium,canonical_answer_2 is reused verbatim but satisfies no stored criterion (kept as uncredited context).,Decide whether this ca2 is legitimate supplementary context or a sign the rubric/answers are out of sync; consider not displaying off-rubric ca2 in Open Hand.
QA2-065,apbio_frq_segmentation.codex.jsonl,016e7347-2003-45de-9967-619544d691ca,APBIO-FRQ-S-099,partial_draft_coverage,medium,1 of 2 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-066,apbio_frq_segmentation.codex.jsonl,7640704b-6e1d-4bad-bc74-f3d194324805,APBIO-FRQ-S-101,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-067,apbio_frq_segmentation.codex.jsonl,2c275bcc-2927-4910-83b6-fe61552a511b,APBIO-FRQ-S-102,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-068,apbio_frq_segmentation.codex.jsonl,ebcdd05b-73a4-49ca-9b2e-96f8bbdef234,APBIO-FRQ-S-103,stored_answers_do_not_match_rubric,high,Every rubric criterion had to be drafted; neither canonical_answer_1 nor canonical_answer_2 answers this item's rubric. The stored answers appear to belong to a different question/rubric.,Content review: reconcile this item's canonical answers with its stored rubric before any Open Hand use.
QA2-069,apbio_frq_segmentation.codex.jsonl,87874651-60bb-40cc-a634-2ce196ad996d,APBIO-HDG-2026-GRAPH-002,partial_draft_coverage,medium,4 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-070,apbio_frq_segmentation.codex.jsonl,87874651-60bb-40cc-a634-2ce196ad996d,APBIO-HDG-2026-GRAPH-002,drawn_response_no_text_canonical,high,Drawn-graph item: full credit needs plotted marks; text cannot be a full-credit spatial canonical.,Exclude from text Open Hand until a governed spatial-canonical representation exists.
QA2-071,apbio_frq_segmentation.codex.jsonl,b738b319-8146-43d5-a2c4-5b292e1f1943,APBIO-HDG-2026-GRAPH-003,partial_draft_coverage,medium,4 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-072,apbio_frq_segmentation.codex.jsonl,b738b319-8146-43d5-a2c4-5b292e1f1943,APBIO-HDG-2026-GRAPH-003,drawn_response_no_text_canonical,high,Drawn-graph item: full credit needs plotted marks; text cannot be a full-credit spatial canonical.,Exclude from text Open Hand until a governed spatial-canonical representation exists.
QA2-073,apbio_frq_segmentation.codex.jsonl,001fef04-5272-4c9d-9d2b-cde19287bcc7,APBIO-HDG-2026-GRAPH-008,partial_draft_coverage,medium,4 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-074,apbio_frq_segmentation.codex.jsonl,001fef04-5272-4c9d-9d2b-cde19287bcc7,APBIO-HDG-2026-GRAPH-008,drawn_response_no_text_canonical,high,Drawn-graph item: full credit needs plotted marks; text cannot be a full-credit spatial canonical.,Exclude from text Open Hand until a governed spatial-canonical representation exists.
QA2-075,apbio_frq_segmentation.codex.jsonl,3db8a97a-baaf-4ff4-9110-06dd4bc91892,APBIO-HDG-2026-GRAPH-010,partial_draft_coverage,medium,5 of 5 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-076,apbio_frq_segmentation.codex.jsonl,3db8a97a-baaf-4ff4-9110-06dd4bc91892,APBIO-HDG-2026-GRAPH-010,drawn_response_no_text_canonical,high,Drawn-graph item: full credit needs plotted marks; text cannot be a full-credit spatial canonical.,Exclude from text Open Hand until a governed spatial-canonical representation exists.
QA2-077,apbio_frq_segmentation.codex.jsonl,(multiple),(multiple),fully_drafted_answer,medium,7 items had no canonical answer at all; entire answer is generated content (highest risk).,Prioritize earns-the-point human review; corroborate with the independent Claude run.
