content_key,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,existing_author_code,content_disagrees,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version
"apcalcab-frq-011","ap-calculus-ab","frq","6","6.5","Interpreting the Behavior of Accumulation Functions","derived","high","The stem/rubric centers on increase and concavity of an accumulation function, which most directly matches Interpreting the Behavior of Accumulation Functions.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-012","ap-calculus-ab","frq","6","6.9","Integrating Using Substitution","derived","high","The stem/rubric centers on two definite integrals evaluated by substitution, which most directly matches Integrating Using Substitution.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-015","ap-calculus-ab","frq","8","8.9","Volume with Disc Method: Revolving Around the x- or y-Axis","derived","low","The stem/rubric centers on volume of revolution about the x-axis, which most directly matches Volume with Disc Method: Revolving Around the x- or y-Axis.","","false","8.12","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-016","ap-calculus-ab","frq","8","8.3","Using Accumulation Functions and Definite Integrals in Applied Contexts","derived","medium","The stem/rubric centers on volume change obtained from depth, area, and a time integral, which most directly matches Using Accumulation Functions and Definite Integrals in Applied Contexts.","","false","8.2","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-017","ap-calculus-ab","frq","4","4.3","Rates of Change in Applied Contexts Other Than Motion","derived","high","The exact 4.3 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Rates of Change in Applied Contexts Other Than Motion.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-018","ap-calculus-ab","frq","4","4.2","Straight-Line Motion: Connecting Position, Velocity, and Acceleration","derived","high","The exact 4.2 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Straight-Line Motion: Connecting Position, Velocity, and Acceleration.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-019","ap-calculus-ab","frq","5","5.4","Using the First Derivative Test","derived","high","The exact 5.4 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Using the First Derivative Test.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-020","ap-calculus-ab","frq","6","6.4","The Fundamental Theorem of Calculus and Accumulation Functions","derived","high","The exact 6.4 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of The Fundamental Theorem of Calculus and Accumulation Functions.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-022","ap-calculus-ab","frq","8","8.4","Finding the Area Between Curves Expressed as Functions of x","derived","high","The exact 8.4 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Finding the Area Between Curves Expressed as Functions of x.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-023","ap-calculus-ab","frq","2","2.8","The Product Rule","derived","high","The exact 2.8 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of The Product Rule.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-024","ap-calculus-ab","frq","1","1.11","Defining Continuity at a Point","derived","medium","The stem/rubric centers on choosing a function value to make a piecewise function continuous, which most directly matches Defining Continuity at a Point.","","false","1.16","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-025","ap-calculus-ab","frq","1","1.7","Selecting Procedures for Determining Limits","derived","low","The stem/rubric centers on selecting among algebraic, trigonometric, infinite-limit, squeeze, and IVT procedures, which most directly matches Selecting Procedures for Determining Limits.","","false","1.16","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-026","ap-calculus-ab","frq","3","3.5","Selecting Procedures for Calculating Derivatives","derived","low","The stem/rubric centers on selection among product, inverse, chain, and quotient derivative procedures, which most directly matches Selecting Procedures for Calculating Derivatives.","","false","2.8","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-027","ap-calculus-ab","frq","2","2.9","The Quotient Rule","derived","high","The exact 2.9 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of The Quotient Rule.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-028","ap-calculus-ab","frq","3","3.2","Implicit Differentiation","derived","high","The exact 3.2 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Implicit Differentiation.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-030","ap-calculus-ab","frq","5","5.4","Using the First Derivative Test","derived","high","The exact 5.4 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Using the First Derivative Test.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-031","ap-calculus-ab","frq","5","5.6","Determining Concavity","derived","high","The exact 5.6 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Determining Concavity.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-032","ap-calculus-ab","frq","5","5.11","Solving Optimization Problems","derived","high","The exact 5.11 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Solving Optimization Problems.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-033","ap-calculus-ab","frq","5","5.1","Using the Mean Value Theorem","derived","high","The exact 5.1 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Using the Mean Value Theorem.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-034","ap-calculus-ab","frq","6","6.4","The Fundamental Theorem of Calculus and Accumulation Functions","derived","high","The exact 6.4 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of The Fundamental Theorem of Calculus and Accumulation Functions.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-035","ap-calculus-ab","frq","7","7.6","Finding General Solutions Using Separation of Variables","derived","high","The exact 7.6 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Finding General Solutions Using Separation of Variables.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-036","ap-calculus-ab","frq","8","8.4","Finding the Area Between Curves Expressed as Functions of x","derived","high","The exact 8.4 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Finding the Area Between Curves Expressed as Functions of x.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-001","ap-calculus-ab","frq","4","4.5","Solving Related Rates Problems","derived","high","The stem/rubric centers on a related-rate derivative of an implicit relation, which most directly matches Solving Related Rates Problems.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-002","ap-calculus-ab","frq","4","4.6","Approximating Values of a Function Using Local Linearity and Linearization","derived","high","The stem/rubric centers on linearization and concavity-based approximation error, which most directly matches Approximating Values of a Function Using Local Linearity and Linearization.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-003","ap-calculus-ab","frq","5","5.5","Using the Candidates Test to Determine Absolute Extrema","derived","high","The stem/rubric centers on the Candidates Test for absolute extrema, which most directly matches Using the Candidates Test to Determine Absolute Extrema.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-004","ap-calculus-ab","frq","5","5.4","Using the First Derivative Test","derived","medium","The stem/rubric centers on a derivative sign analysis for local extrema, which most directly matches Using the First Derivative Test.","","false","5.3","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-005","ap-calculus-ab","frq","6","6.4","The Fundamental Theorem of Calculus and Accumulation Functions","derived","medium","The stem/rubric centers on the Fundamental Theorem applied to an accumulation function, which most directly matches The Fundamental Theorem of Calculus and Accumulation Functions.","","false","6.5","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-006","ap-calculus-ab","frq","8","8.2","Connecting Position, Velocity, and Acceleration Using Integrals","derived","medium","The stem/rubric centers on total distance estimated by integrating a speed table, which most directly matches Connecting Position, Velocity, and Acceleration Using Integrals.","","false","6.2","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-007","ap-calculus-ab","frq","7","7.7","Finding Particular Solutions Using Initial Conditions and Separation of Variables","derived","high","The stem/rubric centers on a separated particular solution with an initial condition, which most directly matches Finding Particular Solutions Using Initial Conditions and Separation of Variables.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-008","ap-calculus-ab","frq","7","7.8","Exponential Models with Differential Equations","derived","high","The stem/rubric centers on an exponential population differential equation, which most directly matches Exponential Models with Differential Equations.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-009","ap-calculus-ab","frq","8","8.1","Finding the Average Value of a Function on an Interval","derived","high","The stem/rubric centers on average value of a function on an interval, which most directly matches Finding the Average Value of a Function on an Interval.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-np2-010","ap-calculus-ab","frq","8","8.12","Volume with Washer Method: Revolving Around Other Axes","derived","high","The stem/rubric centers on washer volume about the non-coordinate line y=-1, which most directly matches Volume with Washer Method: Revolving Around Other Axes.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-001","ap-calculus-ab","frq","1","1.11","Defining Continuity at a Point","recovered_author_code","high","The valid author code 1.11 matches the stem/rubric assessment of Defining Continuity at a Point.","1.11","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-002","ap-calculus-ab","frq","1","1.3","Estimating Limit Values from Graphs","recovered_author_code","high","The valid author code 1.3 matches the stem/rubric assessment of Estimating Limit Values from Graphs.","1.3","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-003","ap-calculus-ab","frq","2","2.1","Defining Average and Instantaneous Rates of Change at a Point","recovered_author_code","high","The valid author code 2.1 matches the stem/rubric assessment of Defining Average and Instantaneous Rates of Change at a Point.","2.1","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-004","ap-calculus-ab","frq","1","1.6","Determining Limits Using Algebraic Manipulation","recovered_author_code","high","The valid author code 1.6 matches the stem/rubric assessment of Determining Limits Using Algebraic Manipulation.","1.6","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-005","ap-calculus-ab","frq","1","1.10","Exploring Types of Discontinuities","recovered_author_code","high","The valid author code 1.10 matches the stem/rubric assessment of Exploring Types of Discontinuities.","1.10","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-006","ap-calculus-ab","frq","2","2.3","Estimating Derivatives of a Function at a Point","recovered_author_code","high","The valid author code 2.3 matches the stem/rubric assessment of Estimating Derivatives of a Function at a Point.","2.3","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-007","ap-calculus-ab","frq","2","2.5","Applying the Power Rule","recovered_author_code","high","The valid author code 2.5 matches the stem/rubric assessment of Applying the Power Rule.","2.5","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-008","ap-calculus-ab","frq","2","2.8","The Product Rule","recovered_author_code","high","The valid author code 2.8 matches the stem/rubric assessment of The Product Rule.","2.8","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-009","ap-calculus-ab","frq","3","3.1","The Chain Rule","recovered_author_code","high","The valid author code 3.1 matches the stem/rubric assessment of The Chain Rule.","3.1","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-010","ap-calculus-ab","frq","1","1.16","Working with the Intermediate Value Theorem","recovered_author_code","high","The valid author code 1.16 matches the stem/rubric assessment of Working with the Intermediate Value Theorem.","1.16","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-011","ap-calculus-ab","frq","1","1.14","Connecting Infinite Limits and Vertical Asymptotes","recovered_author_code","high","The valid author code 1.14 matches the stem/rubric assessment of Connecting Infinite Limits and Vertical Asymptotes.","1.14","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-012","ap-calculus-ab","frq","1","1.9","Connecting Multiple Representations of Limits","recovered_author_code","high","The valid author code 1.9 matches the stem/rubric assessment of Connecting Multiple Representations of Limits.","1.9","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-013","ap-calculus-ab","frq","2","2.9","The Quotient Rule","recovered_author_code","high","The valid author code 2.9 matches the stem/rubric assessment of The Quotient Rule.","2.9","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-014","ap-calculus-ab","frq","2","2.10","Derivatives of tan x, cot x, sec x, and csc x","recovered_author_code","high","The valid author code 2.10 matches the stem/rubric assessment of Derivatives of tan x, cot x, sec x, and csc x.","2.10","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-015","ap-calculus-ab","frq","3","3.2","Implicit Differentiation","recovered_author_code","high","The valid author code 3.2 matches the stem/rubric assessment of Implicit Differentiation.","3.2","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-016","ap-calculus-ab","frq","3","3.3","Differentiating Inverse Functions","recovered_author_code","high","The valid author code 3.3 matches the stem/rubric assessment of Differentiating Inverse Functions.","3.3","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-017","ap-calculus-ab","frq","3","3.4","Differentiating Inverse Trigonometric Functions","recovered_author_code","high","The valid author code 3.4 matches the stem/rubric assessment of Differentiating Inverse Trigonometric Functions.","3.4","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-018","ap-calculus-ab","frq","1","1.8","Determining Limits Using the Squeeze Theorem","recovered_author_code","high","The valid author code 1.8 matches the stem/rubric assessment of Determining Limits Using the Squeeze Theorem.","1.8","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-019","ap-calculus-ab","frq","3","3.6","Calculating Higher-Order Derivatives","recovered_author_code","high","The valid author code 3.6 matches the stem/rubric assessment of Calculating Higher-Order Derivatives.","3.6","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-u13-020","ap-calculus-ab","frq","2","2.4","Connecting Differentiability and Continuity","recovered_author_code","high","The valid author code 2.4 matches the stem/rubric assessment of Connecting Differentiability and Continuity.","2.4","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-001","ap-calculus-ab","mcq","1","1.6","Determining Limits Using Algebraic Manipulation","derived","high","The stem/rubric centers on an indeterminate algebraic limit resolved by factoring, which most directly matches Determining Limits Using Algebraic Manipulation.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-003","ap-calculus-ab","mcq","1","1.16","Working with the Intermediate Value Theorem","derived","high","The stem/rubric centers on the guaranteed zero from the Intermediate Value Theorem, which most directly matches Working with the Intermediate Value Theorem.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-005","ap-calculus-ab","mcq","2","2.8","The Product Rule","derived","medium","The stem/rubric centers on the product rule applied to an exponential-trigonometric product, which most directly matches The Product Rule.","","false","3.1","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-006","ap-calculus-ab","mcq","2","2.7","Derivatives of cos x, sin x, e^x, and ln x","derived","high","The stem/rubric centers on the derivative of ln x used for a tangent line, which most directly matches Derivatives of cos x, sin x, e^x, and ln x.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-007","ap-calculus-ab","mcq","3","3.1","The Chain Rule","derived","high","The stem/rubric centers on the chain rule for a square-root composite, which most directly matches The Chain Rule.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-008","ap-calculus-ab","mcq","3","3.2","Implicit Differentiation","derived","high","The stem/rubric centers on implicit differentiation of a relation, which most directly matches Implicit Differentiation.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-009","ap-calculus-ab","mcq","4","4.5","Solving Related Rates Problems","derived","high","The stem/rubric centers on a related rate for circular area, which most directly matches Solving Related Rates Problems.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-010","ap-calculus-ab","mcq","4","4.6","Approximating Values of a Function Using Local Linearity and Linearization","derived","high","The stem/rubric centers on a tangent-line estimate for a square root, which most directly matches Approximating Values of a Function Using Local Linearity and Linearization.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-011","ap-calculus-ab","mcq","5","5.4","Using the First Derivative Test","derived","high","The stem/rubric centers on a local maximum located from a derivative sign change, which most directly matches Using the First Derivative Test.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-012","ap-calculus-ab","mcq","5","5.1","Using the Mean Value Theorem","derived","high","The stem/rubric centers on the Mean Value Theorem value, which most directly matches Using the Mean Value Theorem.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-013","ap-calculus-ab","mcq","5","5.3","Determining Intervals on Which a Function Is Increasing or Decreasing","derived","medium","The stem/rubric centers on interval behavior inferred from the sign of f prime, which most directly matches Determining Intervals on Which a Function Is Increasing or Decreasing.","","false","5.4","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-014","ap-calculus-ab","mcq","6","6.4","The Fundamental Theorem of Calculus and Accumulation Functions","derived","high","The stem/rubric centers on the Fundamental Theorem plus a variable upper bound, which most directly matches The Fundamental Theorem of Calculus and Accumulation Functions.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-015","ap-calculus-ab","mcq","6","6.9","Integrating Using Substitution","derived","high","The stem/rubric centers on an antiderivative found by substitution, which most directly matches Integrating Using Substitution.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-016","ap-calculus-ab","mcq","8","8.1","Finding the Average Value of a Function on an Interval","derived","high","The stem/rubric centers on average value of a function on an interval, which most directly matches Finding the Average Value of a Function on an Interval.","","false","","true","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-017","ap-calculus-ab","mcq","6","6.5","Interpreting the Behavior of Accumulation Functions","derived","high","The stem/rubric centers on decrease of an accumulation function from its integrand, which most directly matches Interpreting the Behavior of Accumulation Functions.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-018","ap-calculus-ab","mcq","7","7.7","Finding Particular Solutions Using Initial Conditions and Separation of Variables","derived","high","The stem/rubric centers on a separable differential equation with an initial condition, which most directly matches Finding Particular Solutions Using Initial Conditions and Separation of Variables.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-019","ap-calculus-ab","mcq","8","8.4","Finding the Area Between Curves Expressed as Functions of x","derived","high","The stem/rubric centers on area between two curves expressed as functions of x, which most directly matches Finding the Area Between Curves Expressed as Functions of x.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-020","ap-calculus-ab","mcq","8","8.9","Volume with Disc Method: Revolving Around the x- or y-Axis","derived","high","The stem/rubric centers on disc-method volume about the x-axis, which most directly matches Volume with Disc Method: Revolving Around the x- or y-Axis.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-021","ap-calculus-ab","mcq","1","1.6","Determining Limits Using Algebraic Manipulation","derived","high","The exact 1.6 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Determining Limits Using Algebraic Manipulation.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-022","ap-calculus-ab","mcq","1","1.11","Defining Continuity at a Point","derived","high","The exact 1.11 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Defining Continuity at a Point.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-023","ap-calculus-ab","mcq","1","1.16","Working with the Intermediate Value Theorem","derived","high","The exact 1.16 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Working with the Intermediate Value Theorem.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-024","ap-calculus-ab","mcq","1","1.15","Connecting Limits at Infinity and Horizontal Asymptotes","derived","high","The exact 1.15 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Connecting Limits at Infinity and Horizontal Asymptotes.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-025","ap-calculus-ab","mcq","2","2.2","Defining the Derivative of a Function and Using Derivative Notation","derived","high","The exact 2.2 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Defining the Derivative of a Function and Using Derivative Notation.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-026","ap-calculus-ab","mcq","2","2.8","The Product Rule","derived","high","The exact 2.8 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of The Product Rule.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-027","ap-calculus-ab","mcq","2","2.10","Derivatives of tan x, cot x, sec x, and csc x","derived","high","The exact 2.10 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Derivatives of tan x, cot x, sec x, and csc x.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-028","ap-calculus-ab","mcq","2","2.4","Connecting Differentiability and Continuity","derived","high","The exact 2.4 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Connecting Differentiability and Continuity.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-029","ap-calculus-ab","mcq","3","3.1","The Chain Rule","derived","high","The exact 3.1 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of The Chain Rule.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-030","ap-calculus-ab","mcq","3","3.2","Implicit Differentiation","derived","high","The exact 3.2 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Implicit Differentiation.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-031","ap-calculus-ab","mcq","4","4.2","Straight-Line Motion: Connecting Position, Velocity, and Acceleration","derived","high","The exact 4.2 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Straight-Line Motion: Connecting Position, Velocity, and Acceleration.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-032","ap-calculus-ab","mcq","4","4.5","Solving Related Rates Problems","derived","high","The exact 4.5 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Solving Related Rates Problems.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-033","ap-calculus-ab","mcq","4","4.6","Approximating Values of a Function Using Local Linearity and Linearization","derived","high","The exact 4.6 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Approximating Values of a Function Using Local Linearity and Linearization.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-034","ap-calculus-ab","mcq","4","4.7","Using L'Hospital's Rule for Determining Limits of Indeterminate Forms","derived","high","The exact 4.7 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Using L'Hospital's Rule for Determining Limits of Indeterminate Forms.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-mcq-035","ap-calculus-ab","mcq","5","5.2","Extreme Value Theorem, Global Versus Local Extrema, and Critical Points","derived","high","The exact 5.2 hint in modules/taxonomy_refs is corroborated by the stem/rubric assessment of Extreme Value Theorem, Global Versus Local Extrema, and Critical Points.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
